task_id,mode,prompt_tokens,completion_tokens,total_tokens,files_read_count,total_lines_read,search_count,tool_calls,elapsed_seconds,answer_excerpt
task_1,cold,22202,844,23046,3,30,8,12,119.94,No final answer submitted within turn limit.
task_1,with_context,9175,571,9746,2,24,0,4,70.33,Access-token validation is in src/auth/auth.service.ts validateAccessToken; gateway only routes.
task_2,cold,9935,717,10652,1,18,3,5,75.61,Highest-signal invalidation file is src/auth/auth.service.ts (usesStatelessJwt decision).
task_2,with_context,6311,655,6966,1,18,0,2,3.9,Same: src/auth/auth.service.ts is the JWT decision source of truth.
task_3,cold,23138,853,23991,2,24,9,12,146.28,No final answer submitted within turn limit.
task_3,with_context,34968,1064,36032,3,30,8,12,232.08,No final answer submitted within turn limit.
task_4,cold,24054,863,24917,2,24,9,12,139.1,No final answer submitted within turn limit.
task_4,with_context,24283,1056,25339,3,30,4,8,136.21,Minimum file is src/auth/auth.service.ts (rotateRefreshToken); gateway/db not required.
task_5,cold,26219,2133,28352,4,40,4,11,157.19,Would inspect gateway auth postgres README; no cache-fill logic exists in this demo.
task_5,with_context,18932,2068,21000,3,32,6,10,100.88,Same files first; no request-time preprocessing vs cache-fill design in this repo.
